"object link","text"
"https://pec.ac.in/sites/default/files/uploads/ordinance_0.pdf","Ordinances"
"https://pec.ac.in/sites/default/files/uploads/senate-manu-1_2.pdf","Part 1"
"https://pec.ac.in/sites/default/files/uploads/SENATE-Mnu.-2.pdf","Part 2"
"https://pec.ac.in/sites/default/files/uploads/minutes_senate_79_annexure_B_senate_manual.pdf","Senate Manual (Modified)"
"https://pec.ac.in/sites/default/files/uploads/npe86_0.pdf","National Policy on Education"
"https://pec.ac.in/sites/default/files/uploads/facultyhandbook_0.pdf","Faculty Handbook"
"https://pec.ac.in/sites/default/files/uploads/normsforcoursesandtraining.pdf","Objectives, Norms & Guidelines"
"https://pec.ac.in/sites/default/files/uploads/purchase-process-above-1-lac.pdf","Flow Chart of purchase procedure (Above Rs 1.00 Lac )"
"https://pec.ac.in/sites/default/files/uploads/purchase-process-below-1-lac.pdf","Flow Chart of purchase procedure (Above Rs 15,000/- and upto Rs 1.00 Lac)"
"https://pec.ac.in/sites/default/files/uploads/guidelines-for-purchase_0.pdf","Important Guidelines for purchase of Goods"
"https://pec.ac.in/sites/default/files/uploads/purchasemanual_new_0.pdf","Purchase Manual"
"https://pec.ac.in/sites/default/files/uploads/seniority_list_HAS_faculty_27-11-15.pdf","Click here for List"
"https://pec.ac.in/sites/default/files/uploads/notice_hac_27-11-15.pdf","Click here for Notice"
"https://pec.ac.in/sites/default/files/uploads/consent_form.pdf","Application for allotment of house in PEC Campus"
"https://pec.ac.in/sites/default/files/uploads/festival_advance.pdf","Application Form for The Festival Advance"
"https://pec.ac.in/sites/default/files/uploads/CallingFacility.pdf","Performa for Calling Facility"
"https://pec.ac.in/sites/default/files/uploads/telephone-bills-reimbursement-performa.pdf","Performa for Reimbursement of Telephone Bills"
"https://pec.ac.in/sites/default/files/uploads/proforma_icard_pec.pdf","Proforma for Identity-cum Dependent Card"
"https://pec.ac.in/sites/default/files/uploads/no_dues_retirement_pec.pdf","No Dues Certificate (for retiring employees)"
"https://pec.ac.in/sites/default/files/uploads/undertaking_passport_pec.pdf","Undertaking for Fresh and renewal of Passport"
